Reference,Component,Pin,Pin Name,Net,Notes
U3,TPS61088RHLR,1,VCC,BOOST_VCC,2.2 uF to AGND/GND
U3,TPS61088RHLR,2,EN,BOOST_EN,XIAO D7 with 100 kOhm pulldown
U3,TPS61088RHLR,3,FSW,BOOST_FSW,330 kOhm to BOOST_SW
U3,TPS61088RHLR,4,SW,BOOST_SW,Boost switch node
U3,TPS61088RHLR,5,SW,BOOST_SW,Boost switch node
U3,TPS61088RHLR,6,SW,BOOST_SW,Boost switch node
U3,TPS61088RHLR,7,SW,BOOST_SW,Boost switch node
U3,TPS61088RHLR,8,BOOT,BOOST_BOOT,100 nF to BOOST_SW
U3,TPS61088RHLR,9,VIN,BQ_SYS,Same electrical node as BOOST_VIN
U3,TPS61088RHLR,10,SS,BOOST_SS,47 nF to GND
U3,TPS61088RHLR,11,NC_GND,GND,Tie package NC to ground plane for thermal dissipation
U3,TPS61088RHLR,12,NC_GND,GND,Tie package NC to ground plane for thermal dissipation
U3,TPS61088RHLR,13,MODE,NC,Floating for PFM/light-load mode
U3,TPS61088RHLR,14,VOUT,5V_RADIO,Regulated 5 V output
U3,TPS61088RHLR,15,VOUT,5V_RADIO,Regulated 5 V output
U3,TPS61088RHLR,16,VOUT,5V_RADIO,Regulated 5 V output
U3,TPS61088RHLR,17,FB,BOOST_FB,176 kOhm / 56.0 kOhm divider
U3,TPS61088RHLR,18,COMP,BOOST_COMP,20.0 kOhm / 4.7 nF compensation network
U3,TPS61088RHLR,19,ILIM,BOOST_ILIM,100 kOhm to GND
U3,TPS61088RHLR,20,AGND,GND,Signal ground
U3,TPS61088RHLR,21,PGND_EP,GND,Exposed thermal/power pad with thermal vias
U4,LTC4365ITS8-1,1,VIN,SOLAR_FUSED,After 2 A solar fuse
U4,LTC4365ITS8-1,2,UV,UV_NODE,LTC4365 threshold divider node
U4,LTC4365ITS8-1,3,OV,OV_NODE,LTC4365 threshold divider node
U4,LTC4365ITS8-1,4,GND,GND,Ground
U4,LTC4365ITS8-1,5,SHDN,LTC_SHDN,100 kOhm pullup branch to SOLAR_FUSED
U4,LTC4365ITS8-1,6,FAULT,NC,Explicit no-connect; no solar fault telemetry GPIO in Rev A
U4,LTC4365ITS8-1,7,VOUT,SOLAR_PROTECTED,Protected solar output sense
U4,LTC4365ITS8-1,8,GATE,SOLAR_PROT_GATE,Common gates of solar protection MOSFET pair
Q1,ISA170170N04LMDS,1,S1,SOLAR_PROT_COMMON,Common-source node for protection pair
Q1,ISA170170N04LMDS,2,G1,SOLAR_PROT_GATE,Gate 1
Q1,ISA170170N04LMDS,3,D2,SOLAR_PROTECTED,Drain 2 protected side
Q1,ISA170170N04LMDS,4,G2,SOLAR_PROT_GATE,Gate 2
Q1,ISA170170N04LMDS,5,D2,SOLAR_PROTECTED,Drain 2 protected side
Q1,ISA170170N04LMDS,6,S2,SOLAR_PROT_COMMON,Common-source node for protection pair
Q1,ISA170170N04LMDS,7,D1,SOLAR_FUSED,Drain 1 fused input side
Q1,ISA170170N04LMDS,8,D1,SOLAR_FUSED,Drain 1 fused input side
Q2,ISA170170N04LMDS,1,S1,BQ_SOLAR_SELECTOR_COMMON,Common-source node for BQ solar selector
Q2,ISA170170N04LMDS,2,G1,BQ_ACDRV1,Gate 1
Q2,ISA170170N04LMDS,3,D2,BQ_VBUS,Drain 2 BQ_VBUS side
Q2,ISA170170N04LMDS,4,G2,BQ_ACDRV1,Gate 2
Q2,ISA170170N04LMDS,5,D2,BQ_VBUS,Drain 2 BQ_VBUS side
Q2,ISA170170N04LMDS,6,S2,BQ_SOLAR_SELECTOR_COMMON,Common-source node for BQ solar selector
Q2,ISA170170N04LMDS,7,D1,SOLAR_PROTECTED,Drain 1 solar source side
Q2,ISA170170N04LMDS,8,D1,SOLAR_PROTECTED,Drain 1 solar source side
Q3,ISA170170N04LMDS,1,S1,BQ_USB_SELECTOR_COMMON,Common-source node for BQ USB selector
Q3,ISA170170N04LMDS,2,G1,BQ_ACDRV2,Gate 1
Q3,ISA170170N04LMDS,3,D2,BQ_VBUS,Drain 2 BQ_VBUS side
Q3,ISA170170N04LMDS,4,G2,BQ_ACDRV2,Gate 2
Q3,ISA170170N04LMDS,5,D2,BQ_VBUS,Drain 2 BQ_VBUS side
Q3,ISA170170N04LMDS,6,S2,BQ_USB_SELECTOR_COMMON,Common-source node for BQ USB selector
Q3,ISA170170N04LMDS,7,D1,USB_VBUS_RAW,Drain 1 USB source side
Q3,ISA170170N04LMDS,8,D1,USB_VBUS_RAW,Drain 1 USB source side
J1,XT30PW-M,1,PLUS,SOLAR_RAW,Solar connector positive
J1,XT30PW-M,2,MINUS,GND,Solar connector negative
J2,XT30PW-M,1,PLUS,BAT_RAW,Battery connector positive
J2,XT30PW-M,2,MINUS,GND,Battery connector negative
J3,JST B2B-PH-SM4-TB,1,PIN1,XIAO_BAT_ISO,XIAO underside BAT harness positive
J3,JST B2B-PH-SM4-TB,2,PIN2,GND,XIAO underside GND harness negative
J4,CJT A2012WV-S-2P,1,PIN1,NTC_SENSE,Battery-mounted NTC terminal
J4,CJT A2012WV-S-2P,2,PIN2,GND,Battery-mounted NTC return
J5,Molex 0732511150 SMA,1,CENTER,RF_915,SMA center contact
J5,Molex 0732511150 SMA,2,SHIELD,GND,SMA ground
J5,Molex 0732511150 SMA,3,SHIELD,GND,SMA ground
J5,Molex 0732511150 SMA,4,SHIELD,GND,SMA ground
J5,Molex 0732511150 SMA,5,SHIELD,GND,SMA ground
L1,Coilcraft XAL7070-222MEC,1,Terminal 1,BQ_SW1,Charger inductor terminal
L1,Coilcraft XAL7070-222MEC,2,Terminal 2,BQ_SW2,Charger inductor terminal
L2,Coilcraft XAL7030-222MEC,1,Terminal 1,BQ_SYS,Boost inductor input side
L2,Coilcraft XAL7030-222MEC,2,Terminal 2,BOOST_SW,Boost switch-node side
F1,Littelfuse 0483002.DR,1,Terminal 1,SOLAR_RAW,Solar fuse input
F1,Littelfuse 0483002.DR,2,Terminal 2,SOLAR_FUSED,Solar fuse output
